"gene","gene_symbol","character_major","character_minor","chromosome","start","end","locus_id","browse","isolation","objective","doi"
"PLASTOCHRON2","pla2","Morphological trait","Dwarf","1","41279485","41283041","Os01g0907900","-","Mutant","Plastochron. Leaf size. Dwarfism. Conversion of inflorescence to vegetative shoots.","10.1105/tpc.105.037622"
"PLASTOCHRON2","pla2","Morphological trait","Panicle flower","1","41279485","41283041","Os01g0907900","-","Mutant","Plastochron. Leaf size. Dwarfism. Conversion of inflorescence to vegetative shoots.","10.1105/tpc.105.037622"
"LEAFY HEAD2","lhd2","Morphological trait","Culm leaf","1","41279485","41283041","Os01g0907900","-","Mutant","Plastochron. Tiller bud outgrowth. Dwarfism.","10.1038/sj.cr.7310034"
"LEAFY HEAD2","lhd2","Morphological trait","Dwarf","1","41279485","41283041","Os01g0907900","-","Mutant","Plastochron. Tiller bud outgrowth. Dwarfism.","10.1038/sj.cr.7310034"
"&quot;rice CCCH-type zinc finger proteins, C3H12&quot;","C3H12","Resistance or Tolerance","Bacterial blight resistance","1","41761914","41766771","Os01g0917400","-","Mutant","Resistance to Xanthomonas oryzae pv. oryzae. JA level.","10.1104/pp.111.191379"
"MULTIPLE SPOROCYTE 1","msp1","Physiological trait","Sterility","1","41776916","41779658","Os01g0917500","-","Mutant","Number of male and female sporocytes. Development of pollen mother cells.","10.1105/tpc.012401"
"OsFRDL4","OsFRDL4","Resistance or Tolerance","Other soil stress tolerance","1","41849560","41852830","Os01g0919100","-","Mutant","Aluminium tolerance.","10.1111/j.1365-313X.2011.04757.x"
"suppressor of salicylate insensitivity of npr1-5 2","OsSSI2","Resistance or Tolerance","Bacterial blight resistance","1","41902665","41906463","Os01g0919900","-","Mutant","Resistance to Magnaporthe grisea and Xanthomonas oryzae pv. oryzae. Spotted leaf. Growth retardation.","10.1094/MPMI-22-7-0820"
"suppressor of salicylate insensitivity of npr1-5 2","OsSSI2","Resistance or Tolerance","Blast resistance","1","41902665","41906463","Os01g0919900","-","Mutant","Resistance to Magnaporthe grisea and Xanthomonas oryzae pv. oryzae. Spotted leaf. Growth retardation.","10.1094/MPMI-22-7-0820"
"suppressor of salicylate insensitivity of npr1-5 2","OsSSI2","Morphological trait","Culm leaf","1","41902665","41906463","Os01g0919900","-","Mutant","Resistance to Magnaporthe grisea and Xanthomonas oryzae pv. oryzae. Spotted leaf. Growth retardation.","10.1094/MPMI-22-7-0820"
"OsMADS51","OsMADS51","Physiological trait","Flowering","1","42139221","42159209","Os01g0922800","-","Mutant","Flowering time under short day condition.","10.1104/pp.107.103291"
"Photoperiod sensitivity 13","se13","Physiological trait","Flowering","1","43617116","43619934","Os01g0949400","-","Mutant","Photoperiodic response.","10.1007/s00122-010-1426-2"
"Low cadmium","LCD","Resistance or Tolerance","Other soil stress tolerance","1","43957330","43961308","Os01g0956700","-","Mutant","Cadmium tolerance. Cadmium content in leaf blade.","10.1093/jxb/err300"
"chlorophyll deficient 1","cde1(t)","Morphological trait","Dwarf","2","1090428","1095969","Os02g0121000","-","Mutant","Chlorophyll content.","10.1007/s00425-007-0525-z"
"Nramp aluminum transporter 1","nrat1","Resistance or Tolerance","Other soil stress tolerance","2","1658576","1662644","Os02g0131800","-","Mutant","Aluminium uptake.","10.1073/pnas.1004949107"
"leaf inclination　2","lc2","Morphological trait","Culm leaf","2","2876557","2882175","Os02g0152500","-","Mutant","Leaf angle. Cell division in lamina joint.","10.1038/cr.2010.109"
"Cullin-associated and neddylation-dissociated 1","Oscand1","Morphological trait","Root","2","3659296","3669320","Os02g0167700","-","Mutant","Crown root development. Auxin sensitivity.","10.1093/mp/ssq068"
"Glossy 1","osgl1-2","Morphological trait","Culm leaf","2","4355042","4362385","Os02g0178800","-","Mutant","Leaf wax crystallization. Formation of cuticular layer. Drought tolerance.","10.1007/s11103-009-9483-0"
"Glossy 1","osgl1-2","Resistance or Tolerance","Drought tolerance","2","4355042","4362385","Os02g0178800","-","Mutant","Leaf wax crystallization. Formation of cuticular layer. Drought tolerance.","10.1007/s11103-009-9483-0"
"GOLDHULLANDINTERNODE2","gh2","Morphological trait","Culm leaf","2","4870148","4874035","Os02g0187800","-","Mutant","Lignin content. Seed color. Internode color.","10.1104/pp.105.073007"
"GOLDHULLANDINTERNODE2","gh2","Morphological trait","Seed","2","4870148","4874035","Os02g0187800","-","Mutant","Lignin content. Seed color. Internode color.","10.1104/pp.105.073007"
"lycopene b-cyclase","b-OsLCY","Physiological trait","Germination dormancy","2","5028608","5029713","Os02g0190600","-","Mutant","Pre-harvest sprouting. Photo bleaching.","10.1111/j.1365-313X.2008.03411.x"
"lycopene b-cyclase","b-OsLCY","Resistance or Tolerance","Other stress resistance","2","5028608","5029713","Os02g0190600","-","Mutant","Pre-harvest sprouting. Photo bleaching.","10.1111/j.1365-313X.2008.03411.x"
"defective in outer cell layer specification 1","Docs1","Morphological trait","Root","2","7740096","7744744","Os02g0236100","-","Mutant","Development of root outer cell layers.","10.1111/j.1365-313X.2011.04824.x"
"erect panicle 3","ep3","Morphological trait","Panicle flower","2","9071132","9075127","Os02g0260200","-","Mutant","Erect panicle.","10.1007/s00122-009-1151-x"
"larger panicle","lp","Morphological trait","Culm leaf","2","9071132","9075127","Os02g0260200","-","Mutant","Panicle branching. Tillering. Culm mechanical strength.","10.1111/j.1467-7652.2011.00610.x"
"larger panicle","lp","Resistance or Tolerance","Lodging resistance","2","9071132","9075127","Os02g0260200","-","Mutant","Panicle branching. Tillering. Culm mechanical strength.","10.1111/j.1467-7652.2011.00610.x"
"larger panicle","lp","Morphological trait","Panicle flower","2","9071132","9075127","Os02g0260200","-","Mutant","Panicle branching. Tillering. Culm mechanical strength.","10.1111/j.1467-7652.2011.00610.x"
"ent-copalyl diphosphate synthase1","oscps1","Morphological trait","Dwarf","2","10302717","10312725","Os02g0278700","-","Mutant","Dwarfism. Gibberellin biosynthesis.","10.1104/pp.103.033696"
"Nicotianamine aminotransferase1","naat1","Resistance or Tolerance","Other soil stress tolerance","2","12026212","12031621","Os02g0306401","-","Mutant","Fe acquisition strategy.","10.1104/pp.107.107912"
"APOPTOSIS INHIBITOR5","api5","Physiological trait","Sterility","2","12394554","12404176","Os02g0313400","-","Mutant","Pollen development. Tapetal programmed cell death.","10.1105/tpc.110.082636"
"curly flag leaf1","cfl1","Morphological trait","Culm leaf","2","19418357","19420749","Os02g0516400","-","Mutant","Curly leaf. Leaf cuticle development.","10.1105/tpc.111.088625"
"-","osgtgamma-1","Resistance or Tolerance","Salinity tolerance","2","21005728","21007865","Os02g0542400","-","Mutant","Salinity tolerance.","10.1007/s00438-009-0507-x"
"-","Oscyt-inv1","Physiological trait","Flowering","2","21575760","21579593","Os02g0550600","-","Mutant","Root cell development. Flowering time. Fertility.","10.1007/s00425-008-0718-0"
"-","Oscyt-inv1","Morphological trait","Root","2","21575760","21579593","Os02g0550600","-","Mutant","Root cell development. Flowering time. Fertility.","10.1007/s00425-008-0718-0"
"-","Oscyt-inv1","Physiological trait","Sterility","2","21575760","21579593","Os02g0550600","-","Mutant","Root cell development. Flowering time. Fertility.","10.1007/s00425-008-0718-0"
"Coleoptile phototropism 1","cpt1","Morphological trait","Root","2","22466026","22471133","Os02g0568200","-","Mutant","Root and seedling phototropism. Auxin translocation.","10.1105/tpc.104.028357"
"Coleoptile phototropism 1","cpt1","Morphological trait","Shoot seedling","2","22466026","22471133","Os02g0568200","-","Mutant","Root and seedling phototropism. Auxin translocation.","10.1105/tpc.104.028357"
"rice salt sensitive 1","rss1","Resistance or Tolerance","Salinity tolerance","2","24627261","24630654","Os02g0606700","-","Mutant","Salinity tolerance.","10.1038/ncomms1279"
"CONSTANS-like 4","OsCOL4","Physiological trait","Flowering","2","24847664","24849132","Os02g0610500","-","Mutant","Flowering time independent of day length.","10.1111/j.1365-313X.2010.04226.x"
"dull3","du3","Physiological trait","Eating quality","2","24957939","24961346","Os02g0612300","-","Mutant","Seed amylose content.","10.5511/plantbiotechnology.25.483"
"brittle culm14","bc14","Morphological trait","Culm leaf","2","25093529","25097641","Os02g0614100","-","Mutant","Brittle culm. Cell wall biosynthesis","10.1073/pnas.1016144108"
"brittle culm14","bc14","Resistance or Tolerance","Lodging resistance","2","25093529","25097641","Os02g0614100","-","Mutant","Brittle culm. Cell wall biosynthesis","10.1073/pnas.1016144108"
"-","mer3","Physiological trait","Sterility","2","25376202","25382207","Os02g0617500","-","Mutant","Germ cell development. Meiotic crossover formation.","10.1242/?jcs.049080"
"outcurved leaf 1","oul1","Morphological trait","Culm leaf","2","28374727","28381774","Os02g0674800","-","Mutant","Leaf rolling. Bulliform cell size and number.","10.1104/pp.111.176016"
"Rice outermost cell-specific gene5","Roc5","Morphological trait","Culm leaf","2","28374727","28381774","Os02g0674800","-","Mutant","Leaf rolling. Bulliform cell size and number.","10.1104/pp.111.176016"
"MOSAIC FLORAL ORGANS1","mfo1","Morphological trait","Panicle flower","2","28762840","28770807","Os02g0682200","-","Mutant","Floral organ identity.","10.1105/tpc.109.068742"
"osmads6","osmads6","Physiological trait","Eating quality","2","28762840","28770807","Os02g0682200","-","Mutant","Floral organ identity. Seed starch filling.","10.1111/j.1365-313X.2010.04354.x"
"osmads6","osmads6","Morphological trait","Panicle flower","2","28762840","28770807","Os02g0682200","-","Mutant","Floral organ identity. Seed starch filling.","10.1111/j.1365-313X.2010.04354.x"
"organelle transcript processing 51","OSOTP51","Physiological trait","Source activity","2","29804661","29807618","Os02g0702000","-","Mutant","Chlorophyll development. Structure and function of photosystem I. ","10.1111/j.1744-7909.2011.01094.x"
"adaxialized leaf 1","adl1","Morphological trait","Culm leaf","2","30228115","30244751","Os02g0709400","-","Mutant","Leaf rolling. Identity of adaxial and abaxial of leaf. Shoot organization.","10.1016/j.ydbio.2009.07.042"
"adaxialized leaf 1","adl1","Morphological trait","Shoot seedling","2","30228115","30244751","Os02g0709400","-","Mutant","Leaf rolling. Identity of adaxial and abaxial of leaf. Shoot organization.","10.1016/j.ydbio.2009.07.042"
"glutamine synthetase1;1","OsGS1;1","Resistance or Tolerance","Other soil stress tolerance","2","31561641","31565520","Os02g0735200","-","Mutant","Ammonium assimilation. Growth retardation.","10.1111/j.1365-313X.2011.04506.x"
"glutamine synthetase1;1","Osgs1;1","Morphological trait","Dwarf","2","31561641","31565520","Os02g0735200","-","Mutant","Dwarfism. Growth retardation.","10.1111/j.1365-313X.2005.02406.x"
"brittle culm 3","bc3","Morphological trait","Culm leaf","2","31748536","31758032","Os02g0738900","-","Mutant","Brittle culm. Secondary cell wall synthesis.","10.1007/s00425-010-1145-6"
"brittle culm 3","bc3","Morphological trait","Dwarf","2","31748536","31758032","Os02g0738900","-","Mutant","Brittle culm. Secondary cell wall synthesis.","10.1007/s00425-010-1145-6"
"brittle culm 3","bc3","Resistance or Tolerance","Lodging resistance","2","31748536","31758032","Os02g0738900","-","Mutant","Brittle culm. Secondary cell wall synthesis.","10.1007/s00425-010-1145-6"
"drought-hypersensitive mutant1","dsm1","Resistance or Tolerance","Drought tolerance","2","32058836","32066940","Os02g0743500","-","Mutant","Drought tolerance during seedling stage. Oxidative stress resistance.","10.1104/pp.109.149856"
"drought-hypersensitive mutant1","dsm1","Resistance or Tolerance","Other stress resistance","2","32058836","32066940","Os02g0743500","-","Mutant","Drought tolerance during seedling stage. Oxidative stress resistance.","10.1104/pp.109.149856"
"Low silicon rice 1","lsi1","Resistance or Tolerance","Insect resistance","2","32153189","32156796","Os02g0745100","-","Mutant","Si uptake. Pests resistance.","10.1038/nature04590"
"Low silicon rice 1","lsi1","Resistance or Tolerance","Other soil stress tolerance","2","32153189","32156796","Os02g0745100","-","Mutant","Si uptake. Pests resistance.","10.1038/nature04590"
"basic leucine zipper23","OsbZIP23","Resistance or Tolerance","Drought tolerance","2","33163523","33168441","Os02g0766700","-","Mutant","Drought and salinity tolerance. ABA sensitivity.","10.1104/pp.108.128199"
"basic leucine zipper23","OsbZIP23","Resistance or Tolerance","Salinity tolerance","2","33163523","33168441","Os02g0766700","-","Mutant","Drought and salinity tolerance. ABA sensitivity.","10.1104/pp.108.128199"
"peter pan syndrome","pps","Morphological trait","Dwarf","2","33414939","33420444","Os02g0771100","-","Mutant","Juvenile to adult phase change. Flowering time independent of daylength. Dwarfism.","10.1105/tpc.111.083436"
"peter pan syndrome","pps","Physiological trait","Flowering","2","33414939","33420444","Os02g0771100","-","Mutant","Juvenile to adult phase change. Flowering time independent of daylength. Dwarfism.","10.1105/tpc.111.083436"
"shugoshin protein1","Ossgo1","Physiological trait","Sterility","2","34917690","34921218","Os02g0799100","-","Mutant","Germ cell development. Centromeric cohesion.","10.1111/j.1365-313X.2011.04615.x"
"-","Ospho1;2","Resistance or Tolerance","Other soil stress tolerance","2","35496326","35501884","Os02g0809800","-","Mutant","Translocation of phosphate from root to shoot.","10.1104/pp.109.149872"
"myosin XI B","osmyoXIB","Physiological trait","Sterility","2","35913069","35927326","Os02g0816900","-","Mutant","Male sterility under short day condition.","10.1016/j.ydbio.2007.01.008"
"RICE TELOMERE BINDING PROTEIN1","rtbp1","Others","Others","2","35972525","35977552","Os02g0817800","-","Mutant","Germ cell development. Pleiotropic developmental defect. Regulation of telomere length.","10.1105/tpc.107.051953"
"low phytic acid 1","lpa1","Physiological trait","Eating quality","2","36057276","36062115","Os02g0819400","-","Mutant","Seed phytic acid content.","10.1007/s00122-008-0818-z"
"degenerated hull 1","dh1","Morphological trait","Panicle flower","2","36114364","36115470","Os02g0820500","-","Mutant","Glume formation.","10.1007/s11103-007-9283-3"
"-","Osa8","Resistance or Tolerance","Other soil stress tolerance","3","67390","77636","Os03g0100800","-","Mutant","Phospate uptake and translocation.","10.1093/jxb/ern298"
"HOMOLOGOUS PAIRING ABERRATION IN RICE MEIOSIS1","pair1","Physiological trait","Sterility","3","348672","353037","Os03g0106300","-","Mutant","Germ cell development. Homologous pairing.","10.1105/tpc.020701"
"Low silicon rice 2","lsi2","Resistance or Tolerance","Other soil stress tolerance","3","409044","411221","Os03g0107300","-","Mutant","Si transport.","10.1038/nature05964"
"rice dwarf virus multiplication 1","rim1","Resistance or Tolerance","Other disease resistance","3","1067800","1071757","Os03g0119966","-","Mutant","Rice dwarf virus resistance.","10.1111/j.1365-313X.2008.03712.x"
"osmads50","osmads50","Physiological trait","Flowering","3","1248667","1278620","Os03g0122600","-","Mutant","Flowering time.","10.1111/j.1365-313X.2004.02082.x"
"drought sensitive mutant2","dsm2","Resistance or Tolerance","Drought tolerance","3","1414980","1417378","Os03g0125100","-","Mutant","Drought and oxidative stress tolerance.","10.1104/pp.110.163741"
"drought sensitive mutant2","dsm2","Resistance or Tolerance","Other stress resistance","3","1414980","1417378","Os03g0125100","-","Mutant","Drought and oxidative stress tolerance.","10.1104/pp.110.163741"
"OsCYP96B4","OsCYP96B4","Morphological trait","Dwarf","3","2201645","2203538","Os03g0140400","-","Mutant","Dwarfism. Cell elongation. Pollen germination.","10.1371/journal.pone.0028069"
"OsCYP96B4","OsCYP96B4","Physiological trait","Sterility","3","2201645","2203538","Os03g0140400","-","Mutant","Dwarfism. Cell elongation. Pollen germination.","10.1371/journal.pone.0028069"
"low phytic acid 2","XS-lpa2-1","Physiological trait","Eating quality","3","2346192","2352773","Os03g0142800","-","Mutant","Seed phytic acid content.","10.1007/s00122-009-1018-1"
"adventitious rootless 1","arl1","Morphological trait","Root","3","2705032","2705895","Os03g0149100","-","Mutant","Crown root formation. Auxin sensitivity.","10.1111/j.1365-313X.2005.02434.x"
"crown rootless 1","crl1","Morphological trait","Root","3","2705032","2705895","Os03g0149100","-","Mutant","Crown root formation. Root gravitropism. Auxin sensitivity.","10.1105/tpc.105.030981"
"enhanced disease resistance 1","OsEDR1","Resistance or Tolerance","Bacterial blight resistance","3","3179681","3186612","Os03g0160100","-","Mutant","&quot;Resistance to Xanthomonas oryzae pv. Oryzae. Regulation of SA, JA and ethylene.&quot;","10.1111/j.1365-3040.2010.02219.x"
"constitutivve eilted 1","oscow1","Morphological trait","Culm leaf","3","3333377","3338784","Os03g0162000","-","Mutant","Dwarfism. Narrowed and rolled leaf. Root growth.","10.1007/s11103-007-9203-6"
"constitutivve eilted 1","oscow1","Morphological trait","Dwarf","3","3333377","3338784","Os03g0162000","-","Mutant","Dwarfism. Narrowed and rolled leaf. Root growth.","10.1007/s11103-007-9203-6"
"constitutivve eilted 1","oscow1","Morphological trait","Root","3","3333377","3338784","Os03g0162000","-","Mutant","Dwarfism. Narrowed and rolled leaf. Root growth.","10.1007/s11103-007-9203-6"
"narrow leaf 7","nal7","Morphological trait","Culm leaf","3","3333377","3338784","Os03g0162000","-","Mutant","Narrowed leaf.","10.1007/s00438-008-0328-3"
"defective pollen wall","dpw","Physiological trait","Sterility","3","3632045","3635508","Os03g0167600","-","Mutant","Pollen wall development.","10.1105/tpc.111.087528"
"cyp704B2","cyp704B2","Physiological trait","Sterility","3","3680274","3682418","Os03g0168600","-","Mutant","Anther cuticle formation. Pollen exine formation.","10.1105/tpc.109.070326"
"onion 1","oni1","Morphological trait","Shoot seedling","3","4245314","4250117","Os03g0181500","-","Mutant","Shoot organization.","10.1111/j.1365-313X.2011.04530.x"
"phytoene desaturase","OsPDS","Physiological trait","Germination dormancy","3","4388489","4393138","Os03g0184000","-","Mutant","Pre-harvest sprouting.","10.1111/j.1365-313X.2008.03411.x"
"gibberellin insensitive dwarf2","gid2","Morphological trait","Dwarf","3","5076461","5077237","Os03g0196500","-","Mutant","Dwarfism. Gibberellin sensitivity.","10.1126/science.1081077"
"dwarf 88","d88","Morphological trait","Culm leaf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth.","10.1007/s11103-009-9522-x"
"high tillering and dwarf 2","htd2","Morphological trait","Culm leaf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth.","10.1007/s00425-009-0975-6"
"dwarf 88","d88","Morphological trait","Dwarf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth.","10.1007/s11103-009-9522-x"
"high tillering and dwarf 2","htd2","Morphological trait","Dwarf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth.","10.1007/s00425-009-0975-6"
"dwarf 14","d14","Morphological trait","Culm leaf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth. Strigolactone sensitivity.","10.1093/pcp/pcp091"
"dwarf 14","d14","Morphological trait","Dwarf","3","5449542","5451116","Os03g0203200","-","Mutant","Tillering dwarf. Tiller bud outgrowth. Strigolactone sensitivity.","10.1093/pcp/pcp091"
"DROOPING LEAF","dl","Morphological trait","Culm leaf","3","6068424","6075696","Os03g0215200","-","Mutant","Drooping leaf.Midrib development. Carpel identity. ","10.1105/tpc.018044"
"DROOPING LEAF","dl","Morphological trait","Panicle flower","3","6068424","6075696","Os03g0215200","-","Mutant","Drooping leaf.Midrib development. Carpel identity. ","10.1105/tpc.018044"
"leafy hull sterile1","lhs1","Physiological trait","Flowering","3","6080198","6088701","Os03g0215400","-","Mutant","Floral organ identity. Flowering time.","10.1105/tpc.12.6.871"
"leafy hull sterile1","lhs1","Morphological trait","Panicle flower","3","6080198","6088701","Os03g0215400","-","Mutant","Floral organ identity. Flowering time.","10.1105/tpc.12.6.871"
"-","OsFRDL1","Resistance or Tolerance","Other soil stress tolerance","3","6159182","6170117","Os03g0216700","-","Mutant","Translocation of Fe to shoot.","10.1104/pp.108.128132"
"drought- and salt-hypersensitive mutant 3","dsm3","Resistance or Tolerance","Drought tolerance","3","6951438","6956734","Os03g0230500","-","Mutant","Drought and salinity tolerance. Fertility. Root growth.","10.1007/s11103-011-9830-9"
"drought- and salt-hypersensitive mutant 3","dsm3","Morphological trait","Root","3","6951438","6956734","Os03g0230500","-","Mutant","Drought and salinity tolerance. Fertility. Root growth.","10.1007/s11103-011-9830-9"
"drought- and salt-hypersensitive mutant 3","dsm3","Resistance or Tolerance","Salinity tolerance","3","6951438","6956734","Os03g0230500","-","Mutant","Drought and salinity tolerance. Fertility. Root growth.","10.1007/s11103-011-9830-9"
"drought- and salt-hypersensitive mutant 3","dsm3","Physiological trait","Sterility","3","6951438","6956734","Os03g0230500","-","Mutant","Drought and salinity tolerance. Fertility. Root growth.","10.1007/s11103-011-9830-9"
"anaphase-promoting complex6","Osapc6","Morphological trait","Dwarf","3","7261911","7270354","Os03g0236966","-","Mutant","Dwarfism.","10.1007/s10142-009-0155-6"
"reduced culm number 1","rcn1","Morphological trait","Culm leaf","3","9704996","9707687","Os03g0281900","-","Mutant","Tillering bud outgrowth.","10.1111/j.1469-8137.2008.02724.x"
"mitochondrial iron transporter","mit","Resistance or Tolerance","Other soil stress tolerance","3","10438693","10441586","Os03g0296800","-","Mutant","Fe uptake.","10.1038/ncomms1326"
"sword shape dwarf1","ssd1","Morphological trait","Dwarf","3","10734978","10739431","Os03g0302900","-","Mutant","Dwarfism. Cell division and expansion.","10.2183/pjab.86.265"
"phytochromeB","phyB","Physiological trait","Flowering","3","11070815","11078848","Os03g0309200","-","Mutant","Flowering time. Deetiolation response. Sensitivity to red and far-red light.","10.1105/tpc.105.035899"
"phytochromeB","phyB","Resistance or Tolerance","Blast resistance","3","11070815","11078848","Os03g0309200","-","Mutant","Resistance to Magnaporthe grisea.","10.1093/mp/ssr005"
"Calcineurin B-like protein-interacting protein kinases 31","oscipk31","Physiological trait","Germination dormancy","3","11576936","11582632","Os03g0319400","-","Mutant","&quot;Sensitivity to ABA, salt, mannitol and glucose during germination and seedling stage.&quot;","10.1007/s10059-010-0084-1"
"Calcineurin B-like protein-interacting protein kinases 31","oscipk31","Resistance or Tolerance","Salinity tolerance","3","11576936","11582632","Os03g0319400","-","Mutant","&quot;Sensitivity to ABA, salt, mannitol and glucose during germination and seedling stage.&quot;","10.1007/s10059-010-0084-1"
"Calcineurin B-like protein-interacting protein kinases 31","oscipk31","Morphological trait","Shoot seedling","3","11576936","11582632","Os03g0319400","-","Mutant","&quot;Sensitivity to ABA, salt, mannitol and glucose during germination and seedling stage.&quot;","10.1007/s10059-010-0084-1"
"VIRESCENT 2","v2","Physiological trait","Source activity","3","11646117","11649720","Os03g0320900","-","Mutant","Chloroplast development.","10.1111/j.1365-313X.2007.03251.x"
"-","OschlH","Physiological trait","Source activity","3","11762832","11770250","Os03g0323200","-","Mutant","Chlorophyll development.","10.1093/pcp/pcg064"
"&quot;endo-1,4-b-D-glucanase1&quot;","glu1","Morphological trait","Dwarf","3","12154756","12159097","Os03g0329500","-","Mutant","Dwarfism. Cell elongation. Cellulose and pectin content.","10.1007/s11103-005-2972-x"
"cell wall architecture 1/brittle culm 1","cwa1/bc1","Morphological trait","Culm leaf","3","17896368","17898397","Os03g0416200","-","Mutant","Brittle culm. Secondary cell wall synthesis.","10.1007/s00425-010-1171-4"
"cell wall architecture 1/brittle culm 1","cwa1/bc1","Resistance or Tolerance","Lodging resistance","3","17896368","17898397","Os03g0416200","-","Mutant","Brittle culm. Secondary cell wall synthesis.","10.1007/s00425-010-1171-4"
"-","glup4","Physiological trait","Eating quality","3","18500241","18502208","Os03g0427300","-","Mutant","Seed storage protein content.","10.1270/jsbbs.60.556"
"Argonaute 7","OsAGO7","Morphological trait","Culm leaf","3","19879867","19884462","Os03g0449200","-","Mutant","Leaf rolling.","10.1007/s00425-006-0472-0"
"shootless 4/shoot organization 2","shl4/sho2","Morphological trait","Shoot seedling","3","19879867","19884462","Os03g0449200","-","Mutant","Shoot apical meristem formation.","10.1073/pnas.0704339104"
"Chlorina-9","chl9","Physiological trait","Source activity","3","21007827","21010153","Os03g0563300","-","Mutant","Chlorophyll biosynthesis.","10.1007/s11103-006-9024-z"
"phenolics efflux zero 1","pez1","Resistance or Tolerance","Other soil stress tolerance","3","21553344","21560048","Os03g0571900","-","Mutant","Cadmium uptake. Iron uptake.","10.1074/jbc.M111.221168"
"-","OsDWARF","Morphological trait","Dwarf","3","23298503","23302596","Os03g0602300","-","Mutant","Dwarfism. Brassinosteroid biosynthesis.","10.1046/j.1365-313X.2002.01438.x"
"brassinosteroid-dependent 1","brd1","Morphological trait","Dwarf","3","23298503","23302596","Os03g0602300","-","Mutant","Dwarfism. Brassinosteroid biosynthesis.","10.1104/pp.007179"
"OsIAA11","OsIAA11","Morphological trait","Root","3","24959201","24962318","Os03g0633500","-","Mutant","Lateral root development.","10.1093/mp/ssr074"
"AMEIOTIC1","Osam1","Physiological trait","Sterility","3","25994338","26000523","Os03g0650400","-","Mutant","Pollen development. Meiosis.","10.1038/cr.2011.7"
"NYC1-LIKE1","nol1","Physiological trait","Source activity","3","26280583","26285646","Os03g0654600","-","Mutant","Leaf senescence. Chlorophyll b and light-harvesting complex II degradation.","10.1111/j.1365-313X.2008.03670.x"
"virescent-1","v1","Resistance or Tolerance","Cold tolerance","3","26387406","26391441","Os03g0656900","-","Mutant","Chloroplast development under cold condition.","10.1111/j.1365-313X.2011.04755.x"
"crown rootless 4","crl4","Morphological trait","Root","3","26962650","26968135","Os03g0666100","-","Mutant","Crown root formation.","10.3117/plantroot.2.19"
"Osgnome1","Osgnome1","Morphological trait","Root","3","26962650","26968135","Os03g0666100","-","Mutant","Crown root formation. Auxin transport.","10.1038/cr.2009.70"
"fine culm 1/TEOSINTE BRANCHED 1","fc1/OsTB1","Morphological trait","Culm leaf","3","29188933","29190867","Os03g0706500","-","Mutant","Tiller growth.","10.1046/j.1365-313X.2003.01648.x"
"slender rice1","slr1","Morphological trait","Dwarf","3","29273183","29275515","Os03g0707600","-","Mutant","Cell division and expansion. Gibberellin sensitivity.","10.1105/tpc.13.5.999"
"slender rice1-d","Slr1-d","Morphological trait","Dwarf","3","29273183","29275515","Os03g0707600","-","Mutant","Dwarfism. Gibberellin sensitivity.","10.1007/s00438-008-0406-6"
"phytochromeA","phyA","Physiological trait","Flowering","3","29930025","29937834","Os03g0719800","-","Mutant","Flowering time. Deetiolation response. Sensitivity to red and far-red light.","10.1105/tpc.105.035899"
"phytochromeA","phyA","Resistance or Tolerance","Blast resistance","3","29930025","29937834","Os03g0719800","-","Mutant","Resistance to Magnaporthe grisea.","10.1093/mp/ssr005"
"low phytic acid N15-186","lpaN15-186","Physiological trait","Eating quality","3","31007405","31010386","Os03g0737701","-","Mutant","Seed phytic acid content.","10.1007/s00122-008-0863-7"
"phytochromeC","phyC","Physiological trait","Flowering","3","31770651","31772937","Os03g0752100","-","Mutant","Flowering time. Deetiolation response. Sensitivity to red and far-red light.","10.1105/tpc.105.035899"
"phytochromeC","phyC","Resistance or Tolerance","Blast resistance","3","31770651","31772937","Os03g0752100","-","Mutant","Resistance to Magnaporthe grisea.","10.1093/mp/ssr005"
"panicle phytomer2","pap2","Morphological trait","Panicle flower","3","31811507","31818173","Os03g0753100","-","Mutant","Floral organ formation. Spikelet meristem identity.","10.1093/pcp/pcp166"
"mads34","osmads34","Morphological trait","Panicle flower","3","31811507","31818173","Os03g0753100","-","Mutant","Regulation of floral organ identity.","10.1104/pp.110.156711"
"Plastidial phosphorylase1","pho1","Physiological trait","Eating quality","3","32182719","32189711","Os03g0758100","-","Mutant","Seed starch content. Grain maturation.","10.1105/tpc.107.054007"
"Plastidial phosphorylase1","pho1","Morphological trait","Seed","3","32182719","32189711","Os03g0758100","-","Mutant","Seed starch content. Grain maturation.","10.1105/tpc.107.054007"
"-","bel","Resistance or Tolerance","Other stress resistance","3","32294151","32296772","Os03g0760200","-","Mutant","Herbicide resistance.","10.1007/s11103-006-0058-z"
"drought and salt tolerance","DST","Resistance or Tolerance","Drought tolerance","3","33496391","33497595","Os03g0786400","-","Mutant","Drought and salinity tolerance. Stomatal control through hydrogen peroxide.","10.1101/gad.1812409"
